CAMPEONATO BRASILEIRO DE PARAPENTE 2022,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"2022-01-01 to 2022-12-31, FAI Category 2 event",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
RANKING GERAL - PRO : 0,,,,,,,,,,,,,,,,,,,,,
Total results (FTV: 25%),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Task,Date,Distance [km],FTV Validity,Type,,,,,,,,,,,,,,,,,
T1 Governador Valadares - Domingo,2022-03-13 11:00,73.5,99.1%,Race to goal,,,,,,,,,,,,,,,,,
T2 Governador Valadares - Segunda-Feira,2022-03-14 11:30,72.6,100%,Race to goal,,,,,,,,,,,,,,,,,
T3 Governador Valadares - Terca-feira,2022-03-15 11:20,71.1,99.6%,Race to goal,,,,,,,,,,,,,,,,,
T4 Governador Valadares - Quarta-feira,2022-03-16 11:10,82.6,99.9%,Race to goal,,,,,,,,,,,,,,,,,
T5 Governador Valadares - Quinta-feira,2022-03-17 11:00,83.8,99.9%,Race to goal,,,,,,,,,,,,,,,,,
T6 Governador Valadares - Sexta-feira,2022-03-18 11:15,90.9,100%,Race to goal,,,,,,,,,,,,,,,,,
T7 Governador Valadares - Sabado,2022-03-19 10:45,72.8,99.2%,Race to goal,,,,,,,,,,,,,,,,,
T8 Santo Antonio da Alegria - Domingo,2022-09-11 11:00,98.4,99.6%,Race to goal,,,,,,,,,,,,,,,,,
T9 Santo Antonio da Alegria - Terça,2022-09-13 11:15,86.1,99.3%,Race to goal,,,,,,,,,,,,,,,,,
T10 Santo Antonio da Alegria - Quinta,2022-09-15 12:00,76.6,4.1%,Race to goal,,,,,,,,,,,,,,,,,
T11 Santo Antonio da Alegria - Sabado,2022-09-17 11:45,103.5,100%,Race to goal,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NR,Id,CIVLID,NOME,GENERO,NACIONALIDADE,EQUIPAMENTO,SELETE,PATROCINADOR,FEDERAÇÃO,EQUIPE,PROVA 1,PROVA 2,PROVA 3,PROVA 4,PROVA 5,PROVA 6,PROVA 7,PROVA 8,PROVA 9,PROVA 10,TOTAL
1,3032,3032,GILMAR DE JESUS COUTO,M,BRA,[PRO] OZONE ENZO 3 - AZUL AMARELO,Gin Genie Race 4,POUSADA PICO DO GAVIÃO | FLY BRAZIL,FPVL,504/950,1000,978,999,980,835,973,676,957,8,980,7371
